alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,gamma_res,beta,gamma
0.2570943120707438,0.3665964030952222,0.013027157774001983,0.8179239621473399,0.19456368613872949,7.525979295648208e-09,0.541137010771981,0.23069986546675525,5.907129415845644e-32,0.30778659067102243
0.23811776035162652,0.36212873554145997,0.041825126991990175,0.8670132852895068,0.19501950531744458,9.701475567020866e-12,0.5822120718073441,0.06279001413867645,3.623444483640973e-24,0.4607832951902604
0.24028325199043746,0.3452421273884998,0.026077094043936044,0.8590041266088848,0.1587867237299714,2.8028257324383454e-12,0.5904280848700861,0.06926581404690864,1.3970176825115642e-20,0.3836865258553161
0.26986518774657703,0.3512173668128698,0.026486673576549116,0.8212744226343303,0.19674491509419104,1.0784425110178392e-11,0.5561050934120608,0.2342164574038159,1.640684188719881e-20,0.39815529716861675
0.276681765916052,0.3518281662595055,0.020676893478926112,0.8304051616231573,0.2485395116114279,1.1443362751483741e-12,0.5391602957792098,0.17618877265781926,6.68495978132154e-23,0.38304119963726047
0.2397608769360071,0.36697027334415655,0.00596028809749526,0.8290458760205529,0.15892226615857008,7.480171029471862e-13,0.5679834086987727,0.19723549005011243,9.999999999387339e-13,0.3591683616968946
0.24447078905023267,0.3780371179964116,0.026425428476063415,0.8083906219002548,0.17236805350829748,3.78803012059958e-12,0.5569874619621641,0.19575450932888258,1.7130739772616523e-19,0.34896011666910387
0.24558587078868935,0.31785365691344625,0.04306630642569545,0.8290992656376794,0.09670322601114688,0.00692100895238743,0.5856491162459502,0.20218476726247603,9.999994264772303e-13,0.3853651572077388
0.25696217944425576,0.3281257844393609,0.02405920601816099,0.8292805027567534,0.1976648504293859,2.1419254073682003e-12,0.5278157336877745,0.2228892277040066,8.68883495407046e-25,0.34930495723992044
0.27614817634264155,0.33468399284975003,0.05425331650144236,0.8262066769263985,0.1821730901791546,0.07919507975505935,0.545522204776858,0.10934591022035263,9.999999999999331e-13,0.4018021660025361
0.26061643960859937,0.35419938864146444,0.039469937616067104,0.7983257153908896,0.18242006021865814,6.722253035978717e-13,0.5383212102609369,0.2292809623171367,9.999999999998312e-13,0.37358694054635205
0.2508225678691774,0.34568873940841466,0.009688602136945054,0.8441455577986342,0.20110891477197929,7.563432999027787e-13,0.5518315895273883,0.14600252606742062,4.763904571356651e-25,0.3473083941849003
0.24648804104048339,0.35257686030035496,0.022959470650945887,0.8393815096683301,0.16918930724045037,0.003352426376424633,0.5950580180613048,0.2432042193296623,2.2106679564204117e-30,0.33965460562495525
