pid,condition,omega2_ai,omega2_self,reject_positive_count,ai_mse,self_mse
43,1,0.4999922399045899,0.4999469191041049,11,2.6664748888997822e-09,4.679813066800126e-19
44,1,0.2789447928523589,0.8846700073008882,3,0.0054829749340928715,0.012573970802524342
45,1,6.651719872741158e-05,6.97164203843359e-05,0,0.04854225876008162,0.008867809227930649
46,1,0.9999999999999999,0.49995771276888373,7,0.003647940531766933,6.806279234156813e-19
47,1,0.310820807755635,0.6260211631915394,4,0.00685533757980979,0.005590278632069302
48,1,0.5194328562057603,1.7102774837209267e-30,3,0.0018175579994834715,0.012765948081098051
49,1,0.7815168691147071,0.2029513669171128,2,0.03666391222706581,0.047815785273342716
50,1,3.829432776267719e-27,0.4999364284704161,3,0.004395278017202164,1.2757389851911558e-18
51,2,0.7026448590338438,0.3026606167899112,2,0.01838641454575503,0.00867068904785192
52,2,0.13731447041960446,4.123344712013879e-05,4,0.007113489060250323,0.008230005237235728
53,2,0.9998787134178643,0.17104516973574369,5,0.04752623298720351,0.030817294707452474
54,2,0.8193593574315637,1.335871275131335e-11,2,0.017163712450044423,0.004599961581589635
55,2,0.33234856687652703,0.3543628426821955,9,0.02310477197585594,0.010602294632371447
56,2,0.13210638675098754,0.4498945068952353,16,0.028795734785905646,0.0070663877443861494
57,2,0.23079636929621947,0.8266899291672284,3,0.026691613581299633,0.02949534633290306
58,2,0.19647852289971526,0.37612004497482227,6,0.0054115276427900184,2.8945216744741954e-25
59,2,2.5582385748787503e-14,0.767004154376102,2,0.02153014941786087,0.012738102404006961
60,2,0.6742318719359309,0.3472221076012523,9,0.011064901950725063,0.00836502509095106
61,2,0.31109415240623195,0.6836733988679825,8,0.010198092852335867,0.014947484572950693
62,2,0.999999998879044,0.6168446452724848,6,0.027959663428477204,0.03395640521164836
63,2,0.8440434211251981,0.4777339060344602,6,7.000109580898587e-12,0.007073033684245873
64,2,0.4410796651304837,0.3117388533385291,8,0.015741502865667577,0.00735073547552329
