channel,participant_index,trial,align_count,improvement,empirical_abs_delta
Self,2,19,5,-0.018508766562090162,0.0
Self,13,19,5,0.06195307610867884,0.0
Self,78,19,5,-0.03658905576060845,0.0
Self,90,19,5,0.0523705917677712,0.0
Self,94,19,5,0.0904657707230816,0.25
Self,1,20,21,-0.07830535128407057,0.25
Self,3,20,21,-0.07163393316243327,0.0
Self,8,20,21,-0.08334809623522654,0.0
Self,9,20,21,0.08592275281794842,0.0
Self,12,20,21,-0.08371648485394706,0.25
Self,13,20,21,0.11981758452387592,0.0
Self,14,20,21,0.06872397917541007,0.0
Self,15,20,21,-0.10732624470158914,0.25
Self,18,20,21,0.06713108867991041,0.25
Self,19,20,21,-0.09074138846028212,0.0
Self,21,20,21,-0.09036615619856936,0.25
Self,24,20,21,0.09563404184111857,0.0
Self,29,20,21,0.06661688448667658,0.0
Self,33,20,21,0.0713825707370283,0.25
Self,35,20,21,0.08232284680285329,0.25
Self,37,20,21,-0.08080442132158921,0.0
Self,38,20,21,0.08784481122262855,0.0
Self,41,20,21,0.06983024821369643,0.75
Self,47,20,21,-0.08701435821990466,0.0
Self,48,20,21,0.08272850744263305,1.0
Self,49,20,21,-0.09832671466238252,0.0
Self,72,21,3,0.028063550371129842,0.25
Self,80,21,3,0.06529090384962483,0.0
Self,81,21,3,0.0904788063244153,0.5
Self,1,22,14,-0.0632039190750206,0.0
Self,14,22,14,-0.06003694337451876,0.5
Self,15,22,14,-0.08885162806726088,0.25
Self,16,22,14,-0.05344993001265641,0.0
Self,17,22,14,-0.05577497166917278,0.75
Self,30,22,14,0.049343451456677234,0.25
Self,55,22,14,0.04063527257540578,0.0
Self,59,22,14,-0.09233856848131383,0.0
Self,66,22,14,0.00925323252671234,0.0
Self,69,22,14,0.06304933755623243,0.0
Self,75,22,14,0.04841425147047196,0.5
Self,78,22,14,-0.07101492773109386,0.0
Self,86,22,14,0.030435385524521963,0.0
Self,94,22,14,-0.015451645654959767,0.0
Self,13,23,11,0.08461492847127122,0.0
Self,18,23,11,0.05439557020692626,0.0
Self,26,23,11,-0.039583446701782876,0.0
Self,33,23,11,-0.038471412915518144,0.0
Self,34,23,11,0.04177720959510567,0.0
Self,55,23,11,0.07334381623347397,0.0
Self,63,23,11,0.0715803109209231,0.25
Self,75,23,11,0.07998047517817886,0.25
Self,80,23,11,0.019748400440512126,0.0
Self,86,23,11,0.06312508296184838,0.0
Self,96,23,11,-0.07001300949493067,0.0
Self,5,24,8,-0.08583173895950913,0.0
Self,15,24,8,-0.08304671351050985,0.0
Self,34,24,8,0.07429654874810354,0.0
Self,36,24,8,0.059610563870929,0.0
Self,42,24,8,-0.05628068616535675,0.0
Self,46,24,8,0.06854372814958343,0.0
Self,87,24,8,0.059749459402929195,0.25
Self,95,24,8,-0.06118549261947981,0.5
Self,73,25,2,-0.09738239585435748,0.0
Self,86,25,2,0.040210228964136285,0.5
Self,19,26,4,0.049028382430970074,0.0
Self,50,26,4,0.004977406471363244,0.0
Self,69,26,4,0.06542123278517653,0.0
Self,75,26,4,0.0619821523055486,0.0
Self,7,27,7,0.06480674374618445,0.0
Self,60,27,7,0.08674605281503933,0.0
Self,68,27,7,-0.0731886665467496,0.0
Self,70,27,7,0.059705490890841206,0.0
Self,71,27,7,-0.05232772537978103,0.0
Self,78,27,7,-0.08415482194500307,0.0
Self,97,27,7,-0.039098550218725214,0.25
Self,1,28,12,-0.0502006492295044,0.0
Self,4,28,12,-0.03493904108617263,0.25
Self,18,28,12,-0.02617011399897179,0.25
Self,31,28,12,-0.026039535859663065,0.5
Self,33,28,12,-0.03650721354611247,0.0
Self,35,28,12,-0.06165199314105557,0.0
Self,39,28,12,0.024390832852665523,0.0
Self,70,28,12,0.08716571658727124,0.0
Self,71,28,12,-0.0881873938833101,0.0
Self,74,28,12,-0.07594731436425306,0.0
Self,86,28,12,0.03208308271299243,0.0
Self,88,28,12,0.08178830021749406,0.25
Self,52,29,2,-0.05350034236814305,0.25
Self,64,29,2,0.04841727522766681,0.0
Self,11,30,2,-0.0545505368108824,0.25
Self,29,30,2,0.023276084274465036,0.0
