alpha_fast,alpha_slow,omega1,omega2,omega3,omega4,beta,gamma
0.7236692805423479,0.46906641020341794,0.1920053016548439,0.3216225499696603,0.07116577536844805,0.10389155221550721,1.711627049390061e-24,0.12454881016761876
0.7550440072306249,0.4986831938104148,0.18140358844165674,0.30386129681518653,0.07362325892954293,0.10336053099946643,8.852154894801778e-25,0.1720831678639953
0.7569787651656913,0.48062130250294605,0.21195413108920202,0.30272278227061555,0.07253482148300103,0.10776202731843895,3.564790610369293e-27,0.1343016962990269
0.714681328673396,0.432687211885191,0.24046582796048338,0.338155264569331,0.10614355257820812,0.10199238844532359,1.6109795556780247e-25,0.06950741171024775
0.8018258975368948,0.4860442708539202,0.21391087798617792,0.28911305598322645,0.11389354704136953,0.1326699887017892,4.177992515301807e-24,0.09721131310645012
0.7300028359710201,0.45351640170237406,0.21846681691960243,0.30798296244493545,0.09045033126850409,0.11730058710431493,1.746725364366109e-22,0.129932327326281
0.6912578139375981,0.35269930311001096,0.2889909062575246,0.39120094682489015,0.1431722372636651,0.1464751156062793,8.879581006118575e-23,0.08644407694517564
0.7716353888120668,0.5015798028124793,0.1978761014024268,0.301162607723032,0.07016972912174353,0.09548358623119509,2.908548753676403e-24,0.1120004952466628
0.7455825193201894,0.47975716779746347,0.2188605259911817,0.3164053204317284,0.07267749335801323,0.10375837738659896,1.457091680327411e-22,0.1774520245670623
0.7901413406652652,0.551615810511989,0.18811159284155524,0.27526831661681195,0.05139099805670134,0.09069486212935886,1.027976530964337e-25,0.1324032205729616
0.799553871653522,0.5019780979762952,0.21603557477261887,0.3050467804984912,0.08408360172760788,0.1143796520040632,1.223358640749367e-22,0.12582394591759485
0.7940845974660472,0.47122573396533607,0.22923352345369685,0.3208030988409852,0.10004031502492503,0.11680325602651291,4.853912861283693e-26,0.11499663735216296
0.8067167151789048,0.5688133059520887,0.17937295174885856,0.2458626225366815,0.05092690930146006,0.07725938833958608,1.1778806934971525e-27,0.12806026307853036
0.7135578967139119,0.4801562017276836,0.2097954828001118,0.3139596624323933,0.056776281707123226,0.0765866198290351,1.8533866710368204e-24,0.13935598216725684
0.7653239514179959,0.5317608889643294,0.1758507657832763,0.2738759016909382,0.06582339060439618,0.08532635282083528,3.009468755894522e-23,0.15844007612859004
0.740263080138579,0.4390794094964586,0.2469786279332814,0.3320245468118735,0.10117577667324527,0.11513850218477568,6.0148514891509245e-24,0.15377310145807987
0.7888501113188262,0.5471142281887861,0.17368853496285,0.2837417895037275,0.0492543681387571,0.08994079960642883,1.345807493788945e-23,0.12701403717328938
0.6992373181954348,0.43940441675706293,0.2239899851261364,0.299658390741103,0.07828426206250835,0.09984671565878567,9.389941715178583e-28,0.09300675853325674
0.7393728783518151,0.47780054885626416,0.20995408006611022,0.31329221380001,0.08068416650503552,0.11290914804945808,9.45004601955356e-22,0.16014987347188434
