alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,beta
0.31032680185111466,0.5890795884377072,0.03450241548003762,0.54034152804879,0.7410686805374066,0.25903481505433545,0.31643101798811635,1.816128351460644e-27
0.26375000291839534,0.5778435530038837,0.04845454159339313,0.5746439424982399,0.926494997646193,0.23704001642603623,0.2743565242320014,5.939538134958918e-22
0.31366456641034823,0.5230321580576858,0.036745415274741365,0.5370382868145965,0.8078090238556179,0.2676286296551507,0.3519042041877137,2.118933065737617e-23
0.23637521855999122,0.5945238031006438,0.04340565630324632,0.6094841796445541,0.8913494172795593,0.18155389407216377,0.2442683028141503,1.4807189584167013e-22
0.2047499095187176,0.7841986245230688,0.03876919873977681,0.6386983922665795,0.9014908625698855,0.10214878653199756,0.27661602976317734,6.417300188544373e-24
0.2804322243800763,0.5192254395800995,0.037395266036175885,0.5982635510538156,0.8428419044712849,0.22724766209891006,0.2870160418783968,5.0876667582127245e-21
0.2678003464795012,0.6121477291918804,0.046095999316661765,0.564720980867174,0.860784328906698,0.252778638397116,0.32199599526924255,1.9693674415258688e-17
0.26015097841541396,0.5698016817168968,0.049753008434239736,0.6185067869470011,0.9039468168741935,0.18060947970950164,0.3173071177675564,7.348713240598022e-20
0.3238170227676174,0.5002872157127868,0.02744142413446457,0.5548675044595551,0.7954232380491627,0.27821651964795285,0.279080178770339,2.6429242733590235e-22
0.2901884151571915,0.5070922746629175,0.028593853595923365,0.5519946693494007,0.8327295279444614,0.23762790488923036,0.30405718956495503,1.0930019964127451e-25
0.2935337724611441,0.6132921613482426,0.0422306531668933,0.5712462029136991,0.7855784129321101,0.27031329411134497,0.3153202460817146,1.4824906831726558e-23
0.33072674709885314,0.476684043772253,0.0434519478715846,0.5942715088243978,0.7636905115695826,0.28546271764303055,0.3046685680280152,2.2856886808658824e-25
0.3291674957936186,0.41792670303315355,0.03047074075455842,0.6063289370078752,0.823711442976831,0.28216400418119486,0.30921273301899327,3.9884429274812316e-23
0.2676988070691908,0.5607957619845783,0.04767296881823897,0.5874771863845678,0.9335935119801446,0.21872321532063982,0.2311422028171193,2.5789515235104274e-20
