alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,beta,gamma
0.2793616997211569,0.3398504937333399,0.016025326959163914,0.8531371350013714,0.27131039948687624,4.9322231126230184e-12,0.5604465446675547,8.791635538244718e-20,0.3876260917926941
0.25699350958266753,0.31385529033317716,0.006081536481129112,0.8652766867639544,0.1973900184113282,1.10506327296846e-16,0.6118713620480288,9.999958771748485e-13,0.36050271511054943
0.26503047048867256,0.3246809953499958,0.007989017542738636,0.8502214331224117,0.22868010980338543,5.3989897859861004e-15,0.5600887654681533,2.5937011700549455e-20,0.3401598658042397
0.25993412836526403,0.34689201130057595,7.564179091062026e-12,0.855187403739608,0.22094876360628185,5.0591401172100226e-18,0.5929607846058375,7.966353146878293e-20,0.3372661220686336
0.27225532036324135,0.3356341697723852,0.0072975820556856735,0.7992017526402742,0.22514969970562212,1.019884326200649e-15,0.6127044744745853,1.2621016308088079e-18,0.32915382019226924
0.25416843137091777,0.37075965526906274,1.9306393330374167e-13,0.9004128571334654,0.22007922754339657,4.753272619235082e-16,0.5152542751134733,4.9378632416718644e-26,0.3517563442868481
0.25098226346339514,0.3709268493278583,0.015757203146597006,0.869525253608688,0.19927343895271304,3.627599068733453e-15,0.5511924856656292,2.0030716522224974e-19,0.3528402561557607
0.26158226900514137,0.37755097758885775,0.013924738668772807,0.8744668725008313,0.2714923773311137,2.182593046073317e-17,0.5279895600057498,1.670295516351365e-21,0.3346372090618693
0.27740442215439454,0.38393605266317427,0.007890064620897733,0.9003964557498472,0.21850724393806603,2.294844131609687e-13,0.49230779095251487,6.964472617323618e-24,0.31795415103184516
0.2642893938049791,0.3802896050727606,0.00016914350311207554,0.8580390090536467,0.19441414966663342,1.0230763055565732e-25,0.5889581562946788,9.99999999998813e-13,0.33306012114542444
0.2666030429831781,0.34721000787791145,0.01709634746674716,0.8735166496240436,0.20739039622456423,2.0087933091955918e-14,0.570149750517865,8.531335050592134e-20,0.35374598688149594
0.25442710653453454,0.3800997559236509,0.009896397894495465,0.8780263702063329,0.18489574305082876,8.591058108794259e-16,0.553927148035469,9.295879936460348e-23,0.2997325435939934
0.2574533346399053,0.3356794222670497,0.012237963295330253,0.871458541260322,0.3007936169023822,1.8129602432555887e-12,0.5538575144473652,3.6680266405042934e-23,0.39953367743931756
0.2852296746811829,0.360016355411897,0.041705003110543495,0.8801880581645491,0.2430341565001175,0.009410993583005045,0.5357833296821892,4.367230827872738e-27,0.42980121557124135
0.2618055025503188,0.35440636516111784,0.00296583394785679,0.9028609067187715,0.27041121639252674,1.0597404177989747e-12,0.5691898757096439,5.369684874898773e-19,0.3514663776754345
0.28796927528763133,0.3552383701215879,0.03635481091489472,0.8949310604281662,0.2552245429021324,2.219125746089356e-12,0.4803129720280653,5.924320386424683e-25,0.37656442774195253
0.27190217370842856,0.3939017249544636,0.016013264840024487,0.8403596585611219,0.29879960300007974,1.3043526930211872e-13,0.5248238036422499,2.7383223771039783e-18,0.3180282586470759
0.2730694353758843,0.3184645612462099,0.0020925725004647612,0.8100953834062172,0.2392981867669301,4.1500951262005306e-15,0.6103414404588717,3.1283106679956035e-19,0.28416530954671226
0.2801467134688194,0.3190045027934024,0.01527424071809361,0.869051211595354,0.25623125822242016,3.160308791367274e-12,0.5525526655560103,3.1801608369815904e-22,0.36190199443223725
0.285770237167361,0.34734494728117615,0.013896287365811109,0.8449288287047244,0.23708759335850157,4.010435755183478e-12,0.5072590804052975,1.7058779825969745e-21,0.30564996979905373
0.30102486943846063,0.35154941023839903,0.0058373007286025595,0.857770951003772,0.2906694739003488,0.056697119472678116,0.4833700706405121,4.157874604202583e-23,0.37529711457752335
0.2762252529611466,0.31293571166996426,2.3049710094353586e-11,0.830732553377284,0.2515334846041713,2.782237011864714e-19,0.6076082418916855,2.393360533901886e-21,0.3578445371914241
0.26486771791474933,0.38876221070095374,0.026065554583926412,0.8490770166718216,0.21215736201688898,8.25195843690928e-14,0.5567473911544264,7.003715058830756e-21,0.3192329929812544
