alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.3357499061461912,0.4262835542542545,2.3811169701677277e-24,0.5619691909623504,0.7601837779903382,0.2957090495817651,0.28931234238666254,0.09906881719963985
0.29332027019360823,0.5241485317486139,1.294234884931567e-10,0.547489109605302,0.7599167677893539,0.23959864884820825,0.29208934837429806,0.10156207475876526
0.2729950756116078,0.5018063847979249,1.3773393851936924e-22,0.5804602691188917,0.7905676976063044,0.1972240965661447,0.3006607655889385,0.1292200651853642
0.2903357401792178,0.4625679958984389,2.8031701093923153e-18,0.5875879228782509,0.7993808773474355,0.26026714402806234,0.29904045920466554,0.12535572895483393
0.2421592605150252,0.4924802113392341,4.03479560841436e-22,0.5807374595288949,0.8907677416660165,0.2365331405237568,0.27868249691103125,0.16555531817644428
0.2448908521018374,0.5039029554977399,1.5200765143762021e-24,0.6226319102677961,0.8890740715279377,0.20007252783211438,0.2547126470237009,0.21273760573955838
0.2586016676565636,0.47273593621467475,5.567179802762217e-19,0.5889118583189192,0.8983816661911098,0.2142329052329376,0.2439562480610357,0.15436053915970455
0.3148861752698803,0.4781339059941957,1.4150484771320762e-14,0.5543829199915928,0.7461325394326792,0.26414355709937426,0.28294956854658604,0.09055592612968377
0.27369124606023404,0.4819048433547599,1.0109579798129989e-23,0.572465626355024,0.8412552459141202,0.24980353689021004,0.24197831146976023,0.14182935978086522
0.3744897918881929,0.4782237085806232,1.5046395758070418e-09,0.5665181074805848,0.7486826179378362,0.3133315945289777,0.3349743388709617,0.04545551649944644
0.23641894831847124,0.5271822966401343,6.407692856582508e-14,0.5717276519436479,0.9521721884599244,0.16542298796008595,0.25898978608104734,0.16462448843943875
0.3345690679595633,0.441700331213789,1.6475972570805603e-08,0.5808017840406401,0.7355535183273245,0.29331640657411523,0.3100853292602769,0.056961513805261675
0.3328408363385493,0.481966412563632,1.9578866895223555e-19,0.5301525645186893,0.7408712719190831,0.23774392475198783,0.29333771101295164,0.08766388082727256
0.33286318537026327,0.4919321240060406,1.3920126487909666e-19,0.5254325077991441,0.7227769343394361,0.2598540392592609,0.3287024100513638,0.11029350976393792
0.32997891921543954,0.37411355376248334,2.6112437450294073e-12,0.573058496722099,0.8270334145554247,0.2853028620004397,0.3120045242692554,0.06080595226073076
0.2896032087292296,0.4477435151437949,6.882749403363739e-21,0.5557923695843072,0.8945418948353601,0.20927275657516606,0.2640443521949396,0.14084368993667334
0.29909720887497754,0.46765979660944385,6.224090059719614e-22,0.5718577204146,0.8152493953881086,0.24429699894262327,0.28764859521422126,0.12134825331294968
0.2186543579722018,0.5734690926862118,1.9613803878980757e-23,0.5947737250417505,0.8730136705083458,0.17119951967735325,0.24296693486227772,0.22293122874230478
0.3732655016641657,0.4480601233081636,1.200060176680032e-19,0.5162510520299257,0.7387378452552881,0.2835596550444874,0.3420438827981149,0.08723403820156476
0.25862840526776043,0.46097200589651566,4.2462532663685847e-14,0.5385961495402757,0.8975737937828164,0.2120881134966007,0.27850717938538966,0.11673604010954723
0.25587371791749564,0.49745208076493747,1.7666046163234502e-27,0.5297943198518636,0.8800572629911894,0.21237990690224745,0.29554593348535924,0.1688523087445303
0.2742646982457878,0.47801750383198083,1.2983149651208994e-21,0.5768441294995179,0.8255168544316073,0.19754366835145046,0.28057023930321845,0.13212267511123726
0.2818986147726887,0.4197799760152106,0.024954294244311524,0.6066757180213503,0.8439747026664297,0.29583178162309687,0.2408396036268677,0.07805867795310407
0.3286801386030031,0.47423668169023286,3.201732001014218e-14,0.5361636424289327,0.7169260869414951,0.31190867191816957,0.32457702136995475,0.08676907115011219
0.28194742195225475,0.4492859349546684,1.0177237435239257e-18,0.5729619092807716,0.7957930505703585,0.25316289517086454,0.29451842788541704,0.12114082605319139
0.3444711681393539,0.3532883459715917,3.410275216208374e-19,0.5847243136521783,0.7834195237652982,0.3153496090914498,0.2870175799653071,0.08177653725485852
0.2628800135929556,0.5054212892232165,1.7007148095061828e-11,0.561123447711242,0.8646587128092051,0.19585120726705546,0.25800311663759967,0.11642305806353907
0.26128895102516114,0.4799400273257265,3.797530844131866e-23,0.6086316533235396,0.8909359454042852,0.199342847179759,0.27692178440256715,0.17990608950574336
0.24447561615140784,0.5436796234878927,2.1541417484687715e-11,0.61957625486877,0.8878670591784219,0.18701798530381522,0.28175212135890704,0.12181177813857993
0.2959876407932732,0.49998432427398826,8.88057905892459e-19,0.5779379432070213,0.8118585401688151,0.22550125208629312,0.29570005720773274,0.12403427751744006
0.3355068777548392,0.4609713066623524,3.583568353088068e-21,0.5555453409025957,0.7710529509316633,0.2703160999699276,0.2745697187902765,0.10305244414738253
0.2359913140402219,0.5506012837250039,0.01665127959136001,0.6041216522786985,0.8300590362600158,0.17917099126849895,0.2446167809339313,0.13791336008860344
0.2336069674612375,0.47347647854697056,1.091491161425131e-11,0.6328356752977371,0.9540991815388239,0.19196049907881532,0.21319716421001284,0.13478593082652493
0.23630805754079234,0.5297834987676241,4.8864178666791734e-14,0.570600500069154,0.8813780469279763,0.22270820718710335,0.2676765661475615,0.15279564764109926
0.3008999621108772,0.43346477230046127,2.056393711421124e-15,0.6009576420261559,0.8155583508998507,0.25395907422486386,0.27333777349366684,0.1509767398367548
0.24058437218140313,0.5404563330762961,6.584536959944315e-12,0.5589150178328047,0.9162514630671814,0.1582182619874466,0.2801480059989615,0.12597294437805392
0.2691805388560083,0.43799722850802436,7.949956658474809e-16,0.5931859219623518,0.7901291053331231,0.24109513009412786,0.24901367307359273,0.08520336895507065
0.25473141248882286,0.4819016767118205,1.350841380126442e-23,0.5909802647941778,0.8867429288775238,0.21721333002867474,0.3058979300687506,0.1639341824365562
0.3609489858979115,0.3912168631479864,2.769621136430716e-09,0.5438361979708181,0.7747470545950825,0.29809383385445865,0.3260600868019415,0.041118895207140835
0.30649149746240534,0.5216620360315646,1.3467504194416915e-15,0.5819240709567625,0.785241222335967,0.2701818969177039,0.3090541109077006,0.10546619487851576
0.3595830940699549,0.43110128199936876,1.1557062892324132e-08,0.5712151676936772,0.7541684420727867,0.34170599706153576,0.31067612223044505,0.06843810159819422
0.3162380172139298,0.45495713426286866,3.268604385858799e-10,0.6062804184959125,0.8316999877918096,0.282296277329933,0.3174157457455121,0.08311632045211208
0.2999793074647898,0.3672809700406855,0.057255681842465246,0.6026287747917937,0.810022085858869,0.2868654230208351,0.286715577293126,0.12261928867177527
0.3106862607237371,0.45204875099199715,7.017063301798273e-20,0.6108211119184593,0.7526584873405007,0.2847627932898346,0.30379158566857906,0.10731934312461042
0.26307501657943944,0.5176325783068365,1.0547533897312866e-19,0.5948896740030838,0.8532173544803021,0.2031955551358198,0.2551582681417375,0.1496815687879322
0.2549684305133997,0.6041955929963413,7.622603444947514e-14,0.5898476668464412,0.8239918015228412,0.1965258584623194,0.26583204092921936,0.12235195307771957
0.28916534712926006,0.4030712842801999,6.688008496077389e-18,0.5626620314577152,0.847185084108379,0.22340246013402998,0.2895072377367228,0.10519607724267538
0.2516834584324863,0.4292630524084894,7.158184238148936e-19,0.5778959043562059,0.8097250902713995,0.2624952629505446,0.233746173775918,0.1251954770209261
0.30328922295676036,0.5230079004999739,5.659774091160919e-16,0.5604944330095711,0.7311377437909926,0.2596739826744348,0.3145249457367974,0.09651195305263094
0.25682978075581814,0.46338521153758094,1.0075464492983996e-20,0.6143895208448693,0.8598362296724424,0.18514952920247185,0.2709644055755643,0.15238514207916118
