alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.25244202274772926,0.35756265944641996,2.0794194808953188e-11,0.8953969112280341,0.22716181610956412,2.0383519461505193e-27,0.5787862388210081,0.4034969430423014
0.26923225290887076,0.33196111442666654,0.0016479091565413531,0.8927497653781776,0.20478040492642507,1.573093397807687e-33,0.5710612854172739,0.2778816535078953
0.26886979384147863,0.35474447301229417,0.011317073037454006,0.8681652307519092,0.2406357881483006,2.8582018589764595e-24,0.5639922892499077,0.33686270882199915
0.2630161997344189,0.323422444743847,0.015654467128493183,0.8337492041961049,0.2014346912489232,2.0148506202159373e-26,0.5854933280814143,0.3662660929588423
0.2529981057397442,0.35429479519939433,2.298773853989139e-13,0.8681439737807427,0.2181918192581668,1.3117667735997037e-28,0.5963302307446124,0.3997917828367746
0.2625222128234329,0.3643224117521164,0.01010351612464722,0.8900127294206839,0.19323212240397025,3.8391672818548675e-27,0.5482079299617421,0.3183796089557781
0.25574178802841313,0.3442964042700037,0.042060829760227375,0.8896513608214346,0.1694270813568959,2.599809635809078e-15,0.5466518927834916,0.33899410198205593
0.2892867913838182,0.3204673776748199,0.007378835143699753,0.8286568992102098,0.2485336599004501,4.96211331702366e-25,0.5780075194573497,0.32165733198364044
0.22745903822630972,0.37310550064730785,5.153532546699169e-10,0.8535370139936506,0.21272289160148228,1.949785498833744e-33,0.5667990279690487,0.3358227333185791
0.2594969319652976,0.3957062727356129,0.0042011814971658545,0.8362197274349142,0.15211057407850848,3.9569890970491115e-30,0.5574303809461271,0.294740456071744
0.25641709552734143,0.2971888793078518,1.3571085724250559e-13,0.8502340649025586,0.24438283262382546,2.9991978145379174e-32,0.6052550470683158,0.333563888363371
0.26715417193890184,0.39175132805031554,0.01840076317218893,0.8357836863788217,0.2524592010128348,1.658826168852967e-24,0.5304243468305764,0.3288254660098348
0.2638781043163061,0.34934955028985437,0.01159081231904643,0.9101529308898738,0.21023399520454228,7.240132787649668e-14,0.5462489155270226,0.36330966709603313
0.26903933268885444,0.3641690778192263,7.761788418309377e-13,0.8653806138571675,0.24647635531062914,3.792406320605487e-31,0.533149398073357,0.3255350219990033
0.28844103819478256,0.35990265009520617,0.014977313386019498,0.8635887787159662,0.3355972594431484,1.618958073681298e-23,0.49540477045511394,0.37503390570307
0.26197481518540977,0.3540381809140156,0.007777675540316706,0.8674233402455428,0.28052534234573084,5.545204663075922e-29,0.5560571187651757,0.385298394773005
0.24634934388195306,0.30439886799705324,0.009957294620545745,0.8666006246281637,0.21090012665032784,2.683841832458479e-25,0.5955570764788023,0.3593102550361008
0.27831442202716106,0.3642139373290149,0.03238324109722359,0.9022811456230937,0.2300244609417324,4.2916000642364123e-11,0.5378302372743506,0.3935691367281548
0.27141918912752255,0.35131473395557333,0.038862365920525783,0.8348887143934153,0.22546675963511426,3.541302296556262e-24,0.5435798923016973,0.3859115926138142
0.27183467848579657,0.3649940874753929,0.020598466906749588,0.8718672550725122,0.2561984465076901,1.1330111004047747e-20,0.5516854459063963,0.389892337001824
0.26658613844334006,0.33906684219862,0.0002309256890148791,0.8491623854969886,0.23581633116303632,1.1702962912882085e-37,0.5562259703279863,0.3337677736509216
0.27490772732893626,0.37746914145927823,7.906046815409898e-10,0.8557737952445348,0.2677703456743712,1.2670756505069867e-33,0.5212830942366142,0.2995881550882211
0.2572233449189106,0.36049424423366694,0.03584629197418635,0.8693818374604891,0.2533780443926723,4.2970471190898245e-17,0.5558094394887871,0.4459321813883018
0.25994985805957443,0.3493287936141249,0.01293729552681337,0.8665041749646093,0.21002328837261253,3.0194227915382997e-25,0.5781814977543536,0.3623662046998734
0.288860693993612,0.36764637555751517,0.017761434118802016,0.8666804036567426,0.25787064420114314,6.241578235734409e-25,0.5204376023858487,0.3712338381164814
0.2896323768670258,0.3516323746105804,0.017296028736687178,0.8741969264020772,0.27585711051655565,2.274257160572321e-22,0.5019114484064536,0.3635526380813912
0.2607741545512589,0.3610265292776554,1.4594223114816844e-09,0.8510417115660985,0.21997564582774523,1.494439952184265e-37,0.5479397030182196,0.3483802330765591
0.2653335143399494,0.38673016219937134,0.011861647826915154,0.8376765994602617,0.23970517791427612,1.4794626246378044e-24,0.545603220470891,0.32849797103665895
0.2620956458794348,0.3145917467689422,0.03176193877855671,0.8664837063724696,0.15990723304667087,4.9107102218002154e-24,0.5612943884181707,0.3427310197969019
0.2759752204413115,0.3262772703449829,0.013571385353181888,0.8701554024863645,0.25679022031174764,2.7940145665934523e-27,0.5089085264763529,0.32722483169423056
0.26430068523551453,0.3522320262185454,0.04128604031310308,0.8646435981465584,0.21218126847217883,5.236548653385141e-18,0.5537747660543848,0.404927518828219
0.27436855738479604,0.3458900955507553,0.03965404056128169,0.8477759641333691,0.21595353743641008,1.0601961467134809e-18,0.505609557423554,0.3651925452188259
0.26438518386348664,0.3502171304119925,0.003046107393418789,0.8716296965564498,0.2328990813589349,8.120619282991024e-27,0.5205351252707278,0.334174276028187
